,tau,Model,Est,SE,AICc,GOF0,GOF5
1,3,Geometric,1766.496386,65.31149887,86.55390048,2.51E-30,2.51E-30
2,4,Geometric,1655.623311,52.55109436,68.85578965,2.35E-19,2.35E-19
3,5,Geometric,1581.875,45.22890997,57.74636195,2.84E-13,2.84E-13
4,6,Geometric,1505.079803,38.32754717,66.04075376,7.76E-17,7.76E-17
5,7,Geometric,1470.16567,35.42285266,59.49442048,2.42E-12,2.42E-12
6,8,Geometric,1433.723482,32.55685726,61.05113257,6.57E-12,6.57E-12
7,9,Geometric,1416.783821,31.28215508,55.99563053,7.82E-09,7.82E-09
8,10,Geometric,1387.148987,29.12719736,63.75432285,6.47E-12,6.47E-12
9,11,Geometric,1372.149055,28.06767972,63.08461058,3.25E-10,3.25E-10
10,12,Geometric,1355.775889,26.93741683,65.98808087,2.68E-10,2.95E-06
11,13,Geometric,1344.363104,26.16458738,66.99818329,1.65E-09,3.15E-07
12,14,Geometric,1324.650421,24.85166821,79.09833502,1.41E-15,3.05E-13
13,15,Geometric,1317.404528,24.37597995,79.61969995,3.70E-14,2.34E-13
14,16,Geometric,1308.733034,23.81324774,82.49135815,6.41E-14,8.87E-11
15,17,Geometric,1297.63861,23.10063715,89.435105,2.97E-16,3.05E-10
16,18,Geometric,1296.371692,23.01996776,88.98304045,2.40E-15,2.58E-11
17,19,Geometric,1292.342728,22.76525009,90.1576887,1.53E-14,2.65E-11
18,20,Geometric,1281.585496,22.08966453,100.3642128,2.35E-20,2.12E-12
19,21,Geometric,1276.265468,21.75755918,103.8699038,2.46E-20,5.76E-13
20,22,Geometric,1270.878065,21.42297552,108.0458027,6.97E-21,3.33E-14
21,23,Geometric,1260.334919,20.77118591,121.4673984,5.35E-31,1.49E-16
22,24,Geometric,1259.020466,20.69025896,121.9528752,7.73E-30,6.71E-20
23,25,Geometric,1253.643337,20.36039968,127.7826562,2.27E-31,2.79E-22
24,26,Geometric,1250.923841,20.19411151,130.1128586,1.30E-30,7.45E-21
25,27,Geometric,1248.14019,20.0244005,132.8002545,3.27E-30,3.87E-22
26,28,Geometric,1245.300175,19.85170883,135.8315726,3.43E-30,1.84E-23
27,29,Geometric,1243.84375,19.76336353,137.1843876,1.85E-29,3.96E-24
28,30,Geometric,1239.413209,19.49517274,143.5097417,1.67E-33,2.25E-25
29,31,Geometric,1233.585859,19.14298963,153.1052416,5.69E-43,5.69E-31
30,32,Geometric,1229.282215,18.88323888,159.9672348,3.95E-47,4.14E-33
31,33,Geometric,1227.835533,18.79605187,161.7970385,3.87E-46,1.13E-32
32,37,Geometric,1226.176778,18.69671468,164.4563952,1.68E-46,3.95E-34
33,39,Geometric,1224.433195,18.5925392,167.4946991,4.71E-48,7.66E-35
34,41,Geometric,1219.074837,18.27287431,179.3185319,5.37E-88,2.25E-39
35,42,Geometric,1217.306736,18.1674128,182.7459236,7.87E-89,1.10E-35
36,43,Geometric,1213.773801,17.95674496,190.5135867,2.51E-105,5.26E-39
37,44,Geometric,1212.010602,17.85162667,194.1563891,1.98E-106,1.33E-39
38,46,Geometric,1210.18379,17.74285522,198.1360884,3.01E-110,1.79E-43
39,47,Geometric,1206.550268,17.52649112,206.9689778,6.47E-142,3.91E-45
40,48,Geometric,1202.978544,17.31369887,215.8990731,1.04E-171,9.27E-47
41,49,Geometric,1199.469511,17.10451169,224.9178653,8.88E-200,1.03E-52
42,50,Geometric,1197.727795,17.00064508,229.1588552,4.25E-200,1.36E-53
43,51,Geometric,1194.272374,16.79449151,238.4812334,2.27E-232,2.69E-55
44,53,Geometric,1192.518384,16.68986414,243.0506743,2.33E-235,3.51E-56
45,54,Geometric,1190.763052,16.58513353,247.7221875,4.61E-240,5.69E-57
46,55,Geometric,1187.291589,16.3778572,257.8716815,3.56E-295,1.77E-63
47,56,Geometric,1185.576011,16.27533914,262.6533735,1.44E-297,2.68E-64
48,58,Geometric,1183.824682,16.1707025,267.7036872,1.29E-306,3.95E-65
49,61,Geometric,1180.227963,15.95580309,279.2702869,0,1.19E-66
50,62,Geometric,1176.730984,15.74648966,290.7969674,0,1.40E-74
51,67,Geometric,1173.070423,15.52734122,303.6077624,0,5.54E-76
52,68,Geometric,1171.27615,15.41975302,309.6705076,0,1.24E-76
53,74,Geometric,1169.340165,15.30375916,316.5998359,0,3.05E-77
54,75,Geometric,1165.561375,15.07690896,331.0963189,0,5.18E-88
55,78,Geometric,1163.65993,14.96259682,338.2828559,0,1.93E-88
56,83,Geometric,1157.854447,14.61286263,363.1367246,0,1.13E-89
57,84,Geometric,1155.999502,14.50073976,370.6943589,0,2.24E-97
58,85,Geometric,1154.17008,14.38998487,378.2626219,0,8.78E-98
59,87,Geometric,1150.563187,14.17111202,394.261885,0,1.09E-98
60,99,Geometric,1148.553115,14.04908003,403.4152005,0,5.11E-115
61,101,Geometric,1146.558937,13.92778007,412.6740385,0,1.01E-104
62,111,Geometric,1144.406046,13.79671587,423.1378799,0,6.79E-105
63,114,Geometric,1142.260454,13.66580579,433.8000556,0,2.84E-132
64,119,Geometric,1140.083505,13.53270374,444.9173267,0,2.76E-131
65,121,Geometric,1137.94116,13.40137554,456.0706131,0,4.36E-114
66,126,Geometric,1135.775747,13.2683195,467.6451806,0,8.72E-143
67,128,Geometric,1133.648761,13.13725506,479.2350252,0,1.25E-141
68,132,Geometric,1131.523985,13.00597322,491.0880453,0,1.19E-140
69,138,Geometric,1129.370003,12.87253188,503.4362394,0,9.04E-115
70,139,Geometric,1127.277266,12.74246201,515.6436108,0,3.63E-154
71,145,Geometric,1125.162358,12.61063314,528.3123261,0,5.62E-149
72,146,Geometric,1123.109377,12.48222383,540.8274106,0,3.41E-128
73,157,Geometric,1120.965037,12.34772418,554.3506098,0,1.02E-128
74,163,Geometric,1118.815587,12.21243497,568.2577761,0,2.62E-160
75,166,Geometric,1116.707795,12.07926215,582.1893353,0,1.23E-146
76,168,Geometric,1114.654906,11.94904859,596.0297292,0,5.11E-166
77,169,Geometric,1112.668123,11.82252264,609.6714053,0,1.40E-165
78,174,Geometric,1110.694432,11.69635087,623.5438666,0,1.31E-150
79,181,Geometric,1108.712329,11.56915283,637.8386835,0,3.36E-193
80,190,Geometric,1106.703712,11.43974136,652.7328683,0,5.54E-192
81,192,Geometric,1104.753605,11.3135374,667.4873487,0,2.12E-199
82,195,Geometric,1102.849055,11.18973248,682.2028785,0,1.36E-198
83,209,Geometric,1100.876144,11.06095153,697.9382364,0,2.66E-206
84,3,Poisson,1233.981506,25.96529603,54.9641366,7.04E-17,7.04E-17
85,4,Poisson,1172.971863,19.58428348,38.5955388,4.37E-09,4.37E-09
86,5,Poisson,1134.514759,15.90288669,40.52232435,1.78E-10,1.78E-10
87,6,Poisson,1096.515637,12.39560713,81.48325402,1.89E-36,1.89E-36
88,7,Poisson,1080.291465,10.90485657,102.1105275,1.94E-44,2.11E-38
89,8,Poisson,1064.442538,9.428009631,147.0190446,9.19E-84,5.36E-60
90,9,Poisson,1057.537084,8.770571685,169.8158676,9.61E-99,5.03E-92
91,10,Poisson,1046.201906,7.658310713,241.4445948,4.60E-272,1.57E-127
92,11,Poisson,1040.837521,7.110949292,282.0426218,0,4.32E-142
93,12,Poisson,1035.322622,6.528464192,339.4908085,0,2.68E-155
94,13,Poisson,1031.696661,6.131412886,385.508625,0,6.95E-231
95,14,Poisson,1025.838748,5.458338044,489.9775334,0,2.42E-250
96,15,Poisson,1023.823145,5.21532882,530.0748155,0,7.03E-257
97,16,Poisson,1021.526298,4.92953559,585.8621321,0,1.79E-264
98,17,Poisson,1018.756515,4.569727191,669.1504892,0,0
99,18,Poisson,1018.45264,4.529093086,678.2364551,0,0
100,19,Poisson,1017.51466,4.402062951,711.6343656,0,0
101,20,Poisson,1015.134069,4.067213682,816.1952689,0,0
102,21,Poisson,1014.02214,3.903707286,871.0237033,0,0
103,22,Poisson,1012.943893,3.740075091,931.1386613,0,0
104,23,Poisson,1010.962376,3.423872955,1064.674962,0,0
105,24,Poisson,1010.727867,3.384920989,1081.311644,0,0
106,25,Poisson,1009.800508,3.22721767,1156.874671,0,0
107,26,Poisson,1009.349944,3.148295267,1196.589954,0,0
108,27,Poisson,1008.902413,3.068263134,1239.370337,0,0
109,28,Poisson,1008.459698,2.98735338,1285.231967,0,0
110,29,Poisson,1008.238299,2.946198528,1309.433795,0,0
111,30,Poisson,1007.586347,2.822092317,1388.482795,0,0
112,31,Poisson,1006.774393,2.660694369,1499.957016,0,0
113,32,Poisson,1006.207913,2.54289709,1586.905681,0,0
114,33,Poisson,1006.024185,2.503658807,1616.844344,0,0
115,37,Poisson,1005.820517,2.459527687,1654.387662,0,0
116,39,Poisson,1005.611889,2.413588767,1695.745275,0,0
117,41,Poisson,1005.000107,2.274164912,1832.412681,0,0
118,42,Poisson,1004.807248,2.228605034,1878.905088,0,0
119,43,Poisson,1004.435454,2.138320792,1975.911142,0,0
120,44,Poisson,1004.25664,2.093649332,2025.730481,0,0
121,46,Poisson,1004.07668,2.047801408,2079.49565,0,0
122,47,Poisson,1003.732351,1.957357343,2191.015483,0,0
123,48,Poisson,1003.411693,1.869537847,2305.475468,0,0
124,49,Poisson,1003.113492,1.784302917,2422.851854,0,0
125,50,Poisson,1002.971701,1.742420786,2482.822122,0,0
126,51,Poisson,1002.702473,1.660193903,2606.692002,0,0
127,53,Poisson,1002.572152,1.618991717,2672.086827,0,0
128,54,Poisson,1002.445842,1.578094438,2739.283649,0,0
129,55,Poisson,1002.207747,1.498150714,2877.544228,0,0
130,56,Poisson,1002.095752,1.45911721,2947.908675,0,0
131,58,Poisson,1001.9855,1.419698308,3022.303215,0,0
132,61,Poisson,1001.771636,1.340097503,3183.938628,0,0
133,62,Poisson,1001.57836,1.264055152,3348.099607,0,0
134,67,Poisson,1001.392345,1.186470202,3533.20011,0,0
135,68,Poisson,1001.306679,1.149046162,3626.849936,0,0
136,74,Poisson,1001.218797,1.109389545,3734.131531,0,0
137,75,Poisson,1001.058741,1.033390933,3952.05816,0,0
138,78,Poisson,1000.983909,0.995931686,4066.842198,0,0
139,83,Poisson,1000.778438,0.885186332,4444.905648,0,0
140,84,Poisson,1000.719497,0.850826079,4571.089826,0,0
141,85,Poisson,1000.664458,0.817465052,4698.881271,0,0
142,87,Poisson,1000.564676,0.753299976,4962.400253,0,0
143,99,Poisson,1000.514297,0.718769154,5122.695082,0,0
144,101,Poisson,1000.467551,0.685199444,5286.99903,0,0
145,111,Poisson,1000.420797,0.649916646,5476.336849,0,0
146,114,Poisson,1000.37767,0.615603732,5672.256619,0,0
147,119,Poisson,1000.337291,0.581668758,5880.13507,0,0
148,121,Poisson,1000.300691,0.549120391,6091.828785,0,0
149,126,Poisson,1000.266767,0.517144347,6315.483061,0,0
150,128,Poisson,1000.236253,0.486606298,6542.862842,0,0
151,132,Poisson,1000.208434,0.457004747,6779.430714,0,0
152,138,Poisson,1000.18282,0.427956271,7030.707445,0,0
153,139,Poisson,1000.160237,0.400613447,7282.763414,0,0
154,145,Poisson,1000.139629,0.373931797,7549.50425,0,0
155,146,Poisson,1000.121585,0.348906168,7816.902313,0,0
156,157,Poisson,1000.104729,0.323792859,8113.095515,0,0
157,163,Poisson,1000.089691,0.299624966,8423.949921,0,0
158,166,Poisson,1000.076605,0.276888428,8740.805035,0,0
159,168,Poisson,1000.065318,0.255663447,9060.75036,0,0
160,169,Poisson,1000.055656,0.235987745,9380.907103,0,0
161,174,Poisson,1000.047201,0.217314947,9712.694651,0,0
162,181,Poisson,1000.039762,0.199448185,10061.82091,0,0
163,190,Poisson,1000.033205,0.182256997,10434.07821,0,0
164,192,Poisson,1000.027684,0.166411993,10808.98744,0,0
165,195,Poisson,1000.02302,0.151744691,11189.43503,0,0
166,209,Poisson,1000.018882,0.13742728,11607.62998,0,0
167,5,Two-component Mixture Exponential,1581.875,NA,59.76149967,1.88E-09,1.88E-09
168,6,Two-component Mixture Exponential,1505.079803,NA,68.05480657,7.51E-13,7.51E-13
169,7,Two-component Mixture Exponential,1470.16567,NA,61.50797794,3.41E-09,3.41E-09
170,8,Two-component Mixture Exponential,1433.723482,NA,63.0641942,3.61E-09,3.61E-09
171,9,Two-component Mixture Exponential,1416.783821,NA,58.00847408,6.25E-07,6.25E-07
172,10,Two-component Mixture Exponential,1387.148987,NA,65.76679788,2.99E-10,2.99E-10
173,11,Two-component Mixture Exponential,1372.149055,NA,65.09690162,5.16E-09,5.16E-09
174,12,Two-component Mixture Exponential,1355.775889,NA,68.0001786,2.10E-09,2.20E-09
175,13,Two-component Mixture Exponential,1344.424779,35.12067401,69.00969196,6.28E-09,2.25E-09
176,14,Two-component Mixture Exponential,1329.012612,31.01430143,80.96577672,8.82E-15,1.70E-12
177,15,Two-component Mixture Exponential,1552.023155,138.2299786,71.32919103,8.58E-07,4.02E-06
178,16,Two-component Mixture Exponential,1545.746995,121.0532961,71.64861885,7.72E-06,5.15E-06
179,17,Two-component Mixture Exponential,1537.409629,103.7322883,74.69116907,7.00E-06,7.57E-06
180,18,Two-component Mixture Exponential,1536.440964,102.0275576,73.73891101,1.50E-05,8.44E-05
181,19,Two-component Mixture Exponential,1532.964774,96.62769756,73.2144585,8.76E-05,7.61E-05
182,20,Two-component Mixture Exponential,1524.014716,84.80445981,78.27566144,7.65E-06,0.0005366
183,21,Two-component Mixture Exponential,1519.79372,80.100376,78.89666724,3.95E-05,0.0007328
184,22,Two-component Mixture Exponential,1515.422649,75.82023051,79.88378272,0.0001363,0.001047
185,23,Two-component Mixture Exponential,1507.247827,68.91915084,86.31766994,2.70E-06,9.15E-06
186,24,Two-component Mixture Exponential,1506.227725,68.15709562,85.85490211,7.90E-06,0.0001141
187,25,Two-component Mixture Exponential,1501.83131,65.14131353,87.58366555,2.20E-05,0.0001353
188,26,Two-component Mixture Exponential,1499.543953,63.70535345,87.70947501,8.63E-05,0.000299
189,27,Two-component Mixture Exponential,1497.089902,62.26684789,88.03422806,0.0002819,0.001663
190,28,Two-component Mixture Exponential,1494.488741,60.83916283,88.54303543,0.0007728,0.002449
191,29,Two-component Mixture Exponential,1493.095623,60.1147361,88.55304046,0.001685,0.004289
192,30,Two-component Mixture Exponential,1488.754077,57.99269921,90.60568992,0.001857,0.005731
193,31,Two-component Mixture Exponential,1483.13614,55.4765896,94.19671129,0.000615,0.00211
194,32,Two-component Mixture Exponential,1479.069112,53.79746794,96.33474892,0.000764,0.003015
195,33,Two-component Mixture Exponential,1477.681005,53.25321077,96.51129848,0.00167,0.002402
196,37,Two-component Mixture Exponential,1475.776158,52.55742838,97.16452053,0.003243,0.002949
197,39,Two-component Mixture Exponential,1473.664541,51.81768591,98.01972462,0.005601,0.003328
198,41,Two-component Mixture Exponential,1467.021116,49.64074231,102.7652933,0.0002893,0.002162
199,42,Two-component Mixture Exponential,1464.853445,48.9710059,103.7489087,0.0006196,0.001356
200,43,Two-component Mixture Exponential,1460.534281,47.69234603,106.4602857,0.0004491,0.00104
201,44,Two-component Mixture Exponential,1458.387979,47.08284767,107.4917676,0.0009178,0.001148
202,46,Two-component Mixture Exponential,1456.091437,46.45262337,108.6803277,0.001629,0.001212
203,47,Two-component Mixture Exponential,1451.563983,45.25957364,111.7675449,0.0007269,0.001406
204,48,Two-component Mixture Exponential,1447.212087,44.16871056,114.8038384,0.0003907,0.002414
205,49,Two-component Mixture Exponential,1443.039819,43.17035225,117.7896424,0.000245,0.001835
206,50,Two-component Mixture Exponential,1440.995633,42.69762506,118.9408066,0.0005148,0.0019
207,51,Two-component Mixture Exponential,1436.997353,41.80230743,121.9422118,0.0003165,0.0005495
208,53,Two-component Mixture Exponential,1434.948338,41.35947534,123.1866306,0.0006164,0.0005687
209,54,Two-component Mixture Exponential,1432.905048,40.92745631,124.4568545,0.001114,0.0001063
210,55,Two-component Mixture Exponential,1428.936979,40.11307208,127.6760956,0.0004944,6.65E-05
211,56,Two-component Mixture Exponential,1427.012865,39.72936772,128.931406,0.0009199,7.18E-05
212,58,Two-component Mixture Exponential,1425.015209,39.3400554,130.2880747,0.001524,7.46E-05
213,61,Two-component Mixture Exponential,1420.83493,38.55264448,133.9720579,0.0003275,5.02E-05
214,62,Two-component Mixture Exponential,1416.92204,37.84130394,137.5429592,9.84E-05,6.72E-06
215,67,Two-component Mixture Exponential,1412.684701,37.10409222,141.5731412,1.27E-05,3.95E-06
216,68,Two-component Mixture Exponential,1410.663117,36.76155472,143.2047445,2.47E-05,1.11E-05
217,74,Two-component Mixture Exponential,1408.34201,36.37880446,145.1711003,3.05E-05,1.03E-05
218,75,Two-component Mixture Exponential,1403.945505,35.67304984,149.6820023,1.23E-06,4.54E-07
219,78,Two-component Mixture Exponential,1401.741499,35.32931567,151.6615409,1.95E-06,1.17E-06
220,83,Two-component Mixture Exponential,1394.999024,34.31749263,159.797621,1.74E-12,1.19E-07
221,84,Two-component Mixture Exponential,1392.947828,34.01946171,161.8025094,8.81E-12,9.95E-08
222,85,Two-component Mixture Exponential,1390.961325,33.73514814,163.7848624,3.84E-11,8.40E-08
223,87,Two-component Mixture Exponential,1387.126913,33.19827515,168.4305628,3.65E-12,3.86E-08
224,99,Two-component Mixture Exponential,1384.807077,32.88371494,170.911155,5.16E-12,3.05E-08
225,101,Two-component Mixture Exponential,1382.535545,32.58078446,173.3939749,7.00E-12,1.18E-08
226,111,Two-component Mixture Exponential,1379.964683,32.24541006,176.2630027,2.18E-12,8.82E-09
227,114,Two-component Mixture Exponential,1377.429579,31.92059767,179.1558272,7.09E-13,6.46E-09
228,119,Two-component Mixture Exponential,1374.85455,31.5967442,182.1585894,1.52E-13,9.36E-12
229,121,Two-component Mixture Exponential,1372.36872,31.289278,185.1276493,4.65E-14,3.44E-10
230,126,Two-component Mixture Exponential,1369.859916,30.98434014,188.1911466,9.64E-15,2.40E-10
231,128,Two-component Mixture Exponential,1367.445804,30.69546854,191.2149155,2.96E-15,1.64E-10
232,132,Two-component Mixture Exponential,1365.056331,30.41403449,194.2800376,7.96E-16,1.71E-11
233,138,Two-component Mixture Exponential,1362.633168,30.13322465,197.4576502,1.20E-16,1.06E-11
234,139,Two-component Mixture Exponential,1360.343686,29.87156785,200.5485463,3.74E-17,6.44E-12
235,145,Two-component Mixture Exponential,1358.03299,29.61142355,203.7393007,6.67E-18,3.50E-15
236,146,Two-component Mixture Exponential,1355.852967,29.36912107,206.843655,2.36E-18,1.68E-13
237,157,Two-component Mixture Exponential,1353.52816,29.11472398,210.2063916,1.42E-19,1.09E-13
238,163,Two-component Mixture Exponential,1351.214987,28.86514512,213.6369401,6.29E-21,6.91E-14
239,166,Two-component Mixture Exponential,1348.994475,28.62862047,217.0314094,5.12E-22,4.22E-14
240,168,Two-component Mixture Exponential,1346.886454,28.40673082,220.3603695,8.62E-23,1.71E-14
241,169,Two-component Mixture Exponential,1344.906277,28.20054529,223.5982676,3.10E-23,3.38E-17
242,174,Two-component Mixture Exponential,1342.961149,28.00028042,226.8665983,8.78E-24,2.97E-17
243,181,Two-component Mixture Exponential,1341.014376,27.80213999,230.2165593,1.34E-24,1.46E-17
244,190,Two-component Mixture Exponential,1339.036442,27.60316877,233.6927144,7.36E-26,6.99E-18
245,192,Two-component Mixture Exponential,1337.165805,27.416856,237.0988445,9.32E-27,3.48E-23
246,195,Two-component Mixture Exponential,1335.378144,27.24050589,240.4648925,1.79E-27,1.47E-18
247,209,Two-component Mixture Exponential,1333.490247,27.05638869,244.0620386,3.95E-29,1.22E-23
