Model,Cutoff,Observed Sp,Estimated Total Sp,SE,Lower CB,Upper CB,Chi Sq,GOF0,GOF5,AIC,AICc,T1,T2,T3,T4,T5,T6,T7,CV Rare
Poisson,4,623,1172.971516,19.58425254,1138.645084,1215.796657,41.82362948,,0,77.18463637,77.19107759,1.526436466,,,,,,,
Poisson,5,665,1134.514776,15.90288816,1106.778695,1169.455385,51.47305752,,0,81.03861551,81.04464869,1.782330965,,,,,,,
Poisson,6,716,1096.517171,12.39574064,1075.115441,1124.016636,177.43888,,0,162.9609058,162.966508,2.130416118,,,,,,,
Poisson,7,742,1080.292196,10.90492129,1061.601707,1104.65354,218.7329701,,0,204.2156495,204.2210549,2.326423376,,,,,,,
Poisson,8,770,1064.442483,9.428004575,1048.450363,1085.713156,406.5941328,,0,294.0328809,294.0380892,2.560990733,,,,,,,
Poisson,9,783,1057.536557,8.770522344,1042.749782,1077.437946,480.7162785,,0,339.6266135,339.6317351,2.681619933,,,,,,,
Poisson,10,806,1046.20196,7.658316028,1033.459532,1063.797098,1289.943305,,0,482.8842144,482.8891896,2.914801327,,,,,,,
Poisson,11,818,1040.837559,7.110953155,1029.103463,1057.302673,1679.602712,,0,564.0803417,564.0852437,3.045977585,,,,,,,
Poisson,12,831,1035.322722,6.528474791,1024.663138,1050.589454,3246.357435,,0,678.9767918,678.9816169,3.19973106,,,,,,,
Poisson,13,840,1031.696811,6.131429372,1021.770382,1046.149296,5246.132008,,0,771.0124767,771.01725,3.314225591,,,,,,,
Poisson,14,856,1025.839057,5.458374391,1017.156162,1038.916445,21675.76234,,0,979.9503829,979.9550667,3.530122392,,,,,,,
Poisson,15,862,1023.823528,5.215375312,1015.58966,1036.406213,25387.7982,,0,1060.14498,1060.149631,3.615844093,,,,,,,
Poisson,16,869,1021.52678,4.929596193,1013.820927,1033.529029,53810.90823,,0,1171.71965,1171.724264,3.722515436,,,,,,,
