"","tau","Model","Est","SE","AICc","GOF0","GOF5"
"1",3,"Poisson",1233.98150551513,25.9652960310767,109.92827320892,7.037e-17,7.037e-17
"2",4,"Poisson",1172.97186330472,19.5842834775818,77.1910775943825,4.373e-09,4.373e-09
"3",5,"Poisson",1134.51475851586,15.9028866863092,81.0446486901451,1.778e-10,1.778e-10
"4",6,"Poisson",1096.51563660065,12.3956071308288,162.966508041939,1.888e-36,1.888e-36
"5",7,"Poisson",1080.29146452246,10.904856571189,204.221054922302,1.94e-44,2.114e-38
"6",8,"Poisson",1064.44253781997,9.42800963082511,294.038089249475,9.188e-84,5.361e-60
"7",9,"Poisson",1057.53708353388,8.7705716854074,339.631735140247,9.607e-99,5.027e-92
"8",10,"Poisson",1046.20190574178,7.65831071279228,482.889189559874,4.603e-272,1.566e-127
"9",11,"Poisson",1040.83752080561,7.11094929162471,564.085243696918,0,4.318e-142
"10",12,"Poisson",1035.32262228788,6.52846419224351,678.981616913027,0,2.676e-155
"11",13,"Poisson",1031.69666124075,6.13141288587905,771.017250020644,0,6.953e-231
"12",14,"Poisson",1025.83874825679,5.45833804385644,979.955066776014,0,2.424e-250
"13",15,"Poisson",1023.82314456427,5.21532882037467,1060.14963104832,0,7.028e-257
"14",16,"Poisson",1021.52629841,4.92953558957002,1171.72426418945,0,1.785e-264
"15",17,"Poisson",1018.75651460313,4.56972719141773,1338.30097846298,0,0
"16",18,"Poisson",1018.45264016268,4.52909308621039,1356.4729101841,0,0
"17",19,"Poisson",1017.51466030207,4.40206295082344,1423.26873122342,0,0
"18",20,"Poisson",1015.13406920332,4.06721368176455,1632.39053771791,0,0
"19",21,"Poisson",1014.02213978609,3.90370728587883,1742.04740662455,0,0
"20",22,"Poisson",1012.94389313431,3.74007509058409,1862.27732256341,0,0
"21",23,"Poisson",1010.96237648893,3.42387295515669,2129.34992457165,0,0
"22",24,"Poisson",1010.72786666531,3.38492098904326,2162.62328880708,0,0
"23",25,"Poisson",1009.80050803367,3.22721767026267,2313.74934229385,0,0
"24",26,"Poisson",1009.34994368165,3.14829526669173,2393.17990805068,0,0
"25",27,"Poisson",1008.90241329966,3.0682631342538,2478.74067354245,0,0
"26",28,"Poisson",1008.45969805414,2.98735338014015,2570.46393404182,0,0
"27",29,"Poisson",1008.23829938145,2.94619852818857,2618.86758979721,0,0
"28",30,"Poisson",1007.58634748861,2.82209231716745,2776.9655895338,0,0
"29",31,"Poisson",1006.77439251227,2.66069436912872,2999.91403100128,0,0
"30",32,"Poisson",1006.20791283518,2.54289709038203,3173.81136198783,0,0
"31",33,"Poisson",1006.02418537734,2.5036588069586,3233.68868707728,0,0
"32",37,"Poisson",1005.82051727764,2.45952768660746,3308.77532304185,0,0
"33",39,"Poisson",1005.61188926748,2.41358876700854,3391.4905503115,0,0
"34",41,"Poisson",1005.00010685592,2.27416491152244,3664.82536202765,0,0
"35",42,"Poisson",1004.80724829749,2.22860503424775,3757.81017680441,0,0
"36",43,"Poisson",1004.43545431797,2.13832079249782,3951.82228414297,0,0
"37",44,"Poisson",1004.25663974827,2.09364933192757,4051.4609626276,0,0
"38",46,"Poisson",1004.07668014972,2.04780140750667,4158.99130017925,0,0
"39",47,"Poisson",1003.73235058112,1.95735734278663,4382.03096682773,0,0
"40",48,"Poisson",1003.41169318973,1.86953784744608,4610.95093684493,0,0
"41",49,"Poisson",1003.11349248542,1.78430291715862,4845.70370820612,0,0
